ID_PAID;DATA;COOKIEID;ID_SEX;ID_ETA;ID_INTERESSE_1;ID_INTERESSE2;ID_INTERESSE3;ID_DEVICE;ID_TYPE;PAGEVIEW_INDEX;NUM;ID_CAMPAIGN;ID_SOTTO1;ID_SOTTO2;ID_SOTTO3;ID_COUNTRY;ID_PROVINCIA;ID_CITY
1709941;03/11/2019;0000000000000000002da520d299c0116;2;3;18;23;32;2;1;2;1;27;51;34;55;1;5;6
1709942;03/11/2019;0000000000000000002da52998d4c05e0;2;2;26;32;21;2;1;2;2;10;17;11;145;1;4;4
1709943;03/11/2019;0000000000000000002da52e991ba05bd;2;1;26;23;34;1;1;5;1;13;26;216;20;1;4;4
1709944;03/11/2019;0000000000000000002da52f2486405df;1;1;26;30;28;2;1;2;1;26;9;36;99;1;2;31
1709945;03/11/2019;0000000000000000002da52fc1f900591;1;2;19;23;35;1;1;4;1;26;27;3;17;1;9;10
1709946;03/11/2019;0000000000000000002da52fc1f900591;1;2;19;23;35;1;1;4;1;27;27;3;17;1;9;10
1709947;03/11/2019;0000000000000000002da52fc1f900591;1;2;19;23;35;1;1;4;1;15;27;3;17;1;9;10
1709948;03/11/2019;0000000000000000002da53968e8005c4;3;1;25;25;25;2;1;0;1;20;2;2;2;1;3;3
1709949;03/11/2019;0000000000000000002da53ef76d401d0;3;1;25;25;25;2;1;2;2;19;2;2;2;1;13;15
1709950;03/11/2019;0000000000000000002da54d3aba405b5;1;2;31;26;13;1;1;1;1;27;43;97;30;1;6;16
1709951;03/11/2019;0000000000000000002da555eeb9205c8;2;3;6;13;16;2;1;1;1;22;2;2;2;1;4;4
1709952;03/11/2019;0000000000000000002da556a61f005b5;2;1;29;26;28;2;1;2;1;26;69;35;2;1;13;15
1709953;03/11/2019;0000000000000000002da5577434a058b;1;2;32;33;25;1;1;1;1;26;2;2;2;1;4;4
1709954;03/11/2019;0000000000000000002da5577434a058b;1;2;32;33;25;1;1;1;1;27;2;2;2;1;4;4
1709955;03/11/2019;0000000000000000002da55b0d74005c8;3;1;25;25;25;2;1;2;1;27;2;2;2;1;2;2
1709956;03/11/2019;0000000000000000002da56226fde0590;2;6;29;16;18;2;1;5;2;26;36;32;10;1;13;60
1709957;03/11/2019;0000000000000000002da56226fde0590;2;6;29;16;18;2;1;5;1;27;36;32;10;1;13;60
1709958;03/11/2019;0000000000000000002da5638e0ba011e;1;3;23;25;25;2;1;1;2;27;2;2;2;5;16;21
1709959;03/11/2019;0000000000000000002da5638e0ba011e;1;3;23;25;25;2;1;1;2;26;2;2;2;5;16;21
